Title,Authors,Year,Method,Key Abuse Types(s),Role of Smart Homes,Mitigation mechanisms,Detection mechanisms,Response  mechanisms
Anticipating smart home security and privacy threats with survivors of intimate partner abuse,Leitão R.,2019,Qualitative+ codesign workshops,Monitoring and tracking; remote control; access misuse; coercive control,Abuse Facilitation+ Mitigation,"Multi-user account design; stronger authentication (e.g., multi-factor, biometrics); transparency and awareness tools; device activity feedback; usable privacy and security controls; built-in spyware detection",Not addressed,Not addressed
Towards a holistic ICT platform for protecting intimate partner violence survivors based on the IoT paradigm,"Rodríguez-Rodríguez I., Rodríguez J.V., Elizondo-Moreno A., Heras-González P., Gentili M.",2020,Review + conceptual design,Monitoring and tracking; remote control; cyber harassment/control,Mitigation + Detection + Support,Integration of home security systems; offender monitoring (GPS tracking); safety applications,Wearable sensor monitoring; GPS tracking; machine learning-based anomaly detection; audio/voice detection; social media monitoring,Emergency alert systems; communication with authorities and trusted contacts; remote assistance (psychological and technical); tele-assistance platforms; evidence collection
Usability analysis of shared device ecosystem security: Informing support for survivors of IoT-facilitated tech-abuse,"Parkin S., Patel T., Lopez-Neira I., Tanczer L.",2020,Usability evaluation,Monitoring and tracking; remote control; access/control misuse,Abuse Facilitation ,Not addressed,Not addressed,Not addressed
The three harms of gendered technology,Wang L.,2020,Conceptual/case study analysis,Remote control; monitoring/surveillance; psychological coercion (technology-mediated),Abuse Facilitation + Mitigation,Regulation of technology design; redefining digital abuse; behavioral guidelines for systems; digital literacy improvement,Not addressed,Not addressed
Are smart home devices abandoning IPV victims?,"Alshehri A., Salem M.B., Ding L.",2020,Analytical framework + technical analysis,Monitoring/surveillance; remote control; access/control misuse; coercive control,Detection + Mitigation + Support+ Abuse Facilitation,Multi-user authentication; equal access design; transparency of capabilities; safety labels; context-aware access control; multi-user setup processes,Context-aware detection; user notifications; continuous authentication; data flow monitoring,Emergency access to support services; reporting mechanisms; evidence logging; safe escape support
Combating domestic abuse inflicted in smart societies,"Mayhew J., Jahankhani H.",2020,Conceptual analysis + framework proposal,Monitoring/surveillance; stalking/location tracking; coercive control; data/privacy exploitation; technology-enabled harassment,Abuse Facilitation + Mitigation + Support,Dual management of smart home devices; design standards for smart home safety (SHADA compliance); legal updates to include digital coercive control; technology design to prevent single-user dominance,Not addressed,Awareness campaigns; training for law enforcement and support staff; guidance for victims; improved ability to recognise and respond to abuse
Threat Modeling Intimate Partner Violence: Tech Abuse as a Cybersecurity Challenge in the Internet of Things,"Slupska J., Tanczer L.M.",2021,Threat modeling + conceptual analysis,Monitoring/surveillance; stalking/location tracking; coercive control; remote device control; access control misuse; gaslighting; data/privacy exploitation; impersonation/account misuse; technology-enabled harassment,Abuse Facilitation + Mitigation + Support,Access control redesign (reducing owner dominance); equal user permissions; consent-based setting changes; multi-factor authentication; login alerts and activity logs; factory reset mechanisms; disabling functionalities; connection reminders; data minimisation; victim-support guidance features in systems,Not addressed,"Guidance features for victims (e.g., dedicated help buttons); actionable advice within systems; support for evidence collection (logs)"
‘I feel like we’re really behind the game’: perspectives of the United Kingdom’s intimate partner violence support sector on the rise of technology-facilitated abuse,"Tanczer L.M., López-Neira I., Parkin S.",2021,Qualitative interviews + thematic analysis,Monitoring/surveillance; harassment (persistent communication); remote/device control; coercive control; impersonation/identity abuse; data access/exposure,Abuse Facilitation + Support,Not addressed,Not addressed,Training for practitioners; need for specialised tech abuse support; external support referrals; centralised support resources and services
Standing in theway of control: A call to action to prevent abuse through beter design of smart technologies,"McKay D., Miller C.",2021,"Conceptual + case-based analysis (literature, media, forums)",Monitoring/surveillance; coercive control; remote device control; access control misuse; environmental control; data/privacy exploitation; technology-enabled harassment; gaslighting (indirect),Abuse Facilitation + Mitigation + Detection,Multi-user system design; equal access for household members; preserving analog control (manual overrides); transparency of data collection and device presence; reducing data leakage; awareness of monitoring capabilities; privacy-sensitive design; safety-by-design principles,Multi-user system design; equal access for household members; preserving analog control (manual overrides); transparency of data collection and device presence; reducing data leakage; awareness of monitoring capabilities; privacy-sensitive design; safety-by-design principles,Not addressed
"As Technology Evolves, so Does Domestic Violence: Modern-Day Tech Abuse and Possible Solutions","Moog E.P., Slakoff D.C.",2021,Conceptual + case-based analysis,Monitoring/surveillance; remote/device control misuse; coercive control; stalking/location tracking; financial control,Abuse Facilitation + Mitigation + Support + Detection,"Multi-user access for shared systems; separate logins for joint accounts; strong authentication (e.g., two-factor authentication); activity logs for device actions; transparency of data collection and access; visibility of location-sharing permissions; ability to revoke access; secure default configurations; abuse-aware design processes (e.g., inclusive safety framework, abuse case identification, stress/abuse testing)","Detection of suspicious financial activity patterns (e.g., unusual transactions, frequent withdrawals); identification of abuse indicators from user behavior; recognition of potential abuse signals in apps (e.g., injury reports, forced pregnancy indicators); detection of stalkerware via security tools; monitoring anomalies triggering safety checks or outreach","Hotlines and trained support staff; proactive outreach (e.g., bank check-in calls); in-app safety messages and resource provision; connection to domestic violence services (e.g., shelters, hotlines); safe intervention prompts; mechanisms for documenting abuse (e.g., logs); user guidance for safety planning"
A systematic review of crime facilitated by the consumer Internet of Things,"Blythe, J.M., Johnson, S.D.",2021,Systematic literature review,Monitoring/surveillance; profiling; remote/device control; physical access control; data exposure,Abuse Facilitation + Mitigation,"Conceptual emphasis on need for security-by-design; recognition of vulnerabilities (e.g., default passwords, lack of encryption, poor updates); discussion of situational crime prevention approaches; recommendation for improved device security, regulation, and user cyber hygiene",Not addressed,Not addressed
Can Prosuming Become Perilous? Exploring Systems of Control and Domestic Abuse in the Smart Homes of the Future,"Sovacool B., Furszyfer-Del Rio D.D., Martiskainen M.",2021,Mixed-methods empirical,Monitoring/surveillance; stalking/location tracking; coercive control; access/control misuse; data/privacy exploitation; parental surveillance/control,Detection + Mitigation + Support+ Abuse Facilitation,"Use of smart systems and apps as preventative tools against domestic violence (e.g., safety apps, smart speakers triggering emergency calls, smart monitoring systems); recommendations for safer design, regulation, and user awareness; embedding victim-centered and feminist design approaches in technology development","Use of smart devices for detecting abuse and providing evidence (e.g., smart speakers recording incidents, smart clothing detecting physical contact, monitoring systems capturing suspicious activity)","Support through safety apps, emergency alert systems, communication tools, and technologies aiding victim recovery and connection with support networks"
